track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
7MAibcTli4IisCtbHKrGMh,4008,3340,581,2524,242096,90,0.586,0.182,0.616,0.0,0.0927,-7.964,0.0324,148.088,4,0
5QO79kh1waicV47BqGRL3g,6038,212,3746,2293,215626,97,0.68,0.0212,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4,0
1diS6nkxMQc3wwC4G1j0bh,8118,2222,1091,2505,165506,88,0.722,0.0319,0.588,0.0,0.183,-5.932,0.0544,134.01,4,0
4u4NyuceXP7Uzh7XFJKCr1,3096,2743,1917,2524,170813,89,0.658,0.0106,0.634,0.0,0.132,-5.797,0.0413,139.98,4,0
3Ofmpyhv5UAQ70mENzB277,542,433,2439,2478,132780,94,0.778,0.175,0.695,0.0,0.15,-6.865,0.0913,149.996,4,0
5uEYRdEIh9Bo4fpjDd4Na9,2812,2416,3849,2485,162802,90,0.841,0.418,0.593,0.0,0.124,-7.846,0.0379,124.917,4,0
1XXimziG1uhM0eDNCZCrUl,7792,6658,649,2500,156944,90,0.868,0.0012,0.795,0.0193,0.0461,-6.044,0.269,166.0,4,0
3aQem4jVGdhtg116TmJnHz,8180,5218,1076,2524,178153,89,0.781,0.0136,0.594,0.0,0.162,-6.959,0.0485,129.895,4,0
463CkQjx2Zk1yXoBuierM9,4079,3384,1091,2409,203064,89,0.702,0.00883,0.825,0.0,0.0674,-3.787,0.0601,102.977,4,0
6tDDoYIxWvMLTdKpjFkc1B,8527,5453,1960,2455,160191,94,0.653,0.112,0.524,0.0,0.203,-9.016,0.0502,83.97,4,0
7lPN2DXiMsVn7XUKtOW1CS,8476,7275,2792,2480,242013,100,0.585,0.721,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4,0
27OeeYzk6klgBh83TSvGMA,7998,1949,3666,2433,161384,94,0.662,0.213,0.413,0.0,0.134,-7.357,0.0299,93.005,4,0
3USxtqRwSYz57Ewm6wWRMp,3010,1734,1444,2374,238805,84,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4,0
2pn8dNVSpYnAtlKFC8Q0DJ,5062,4778,3015,2531,168085,79,0.311,0.0174,0.607,0.0,0.131,-6.578,0.11,188.7,4,0
6f3Slt0GbA2bPZlz0aIFXN,7201,6083,3792,2397,164000,94,0.798,0.414,0.62,0.0192,0.112,-7.079,0.232,120.031,4,0
