track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,242096,90,0.586,0.182,0.616,0.0,0.0927,-7.964,0.0324,148.088,4
5QO79kh1waicV47BqGRL3g,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,97,0.68,0.0212,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4
1diS6nkxMQc3wwC4G1j0bh,We're Good,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021-02-11,165506,88,0.722,0.0319,0.588,0.0,0.183,-5.932,0.0544,134.01,4
4u4NyuceXP7Uzh7XFJKCr1,Hold On,Hold On,Justin Bieber,2021-03-05,170813,89,0.658,0.0106,0.634,0.0,0.132,-5.797,0.0413,139.98,4
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,132780,94,0.778,0.175,0.695,0.0,0.15,-6.865,0.0913,149.996,4
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,2021-01-15,162802,90,0.841,0.418,0.593,0.0,0.124,-7.846,0.0379,124.917,4
1XXimziG1uhM0eDNCZCrUl,Up,Up,Cardi B,2021-02-05,156944,90,0.868,0.0012,0.795,0.0193,0.0461,-6.044,0.269,166.0,4
3aQem4jVGdhtg116TmJnHz,What’s Next,Scary Hours 2,Drake,2021-03-05,178153,89,0.781,0.0136,0.594,0.0,0.162,-6.959,0.0485,129.895,4
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,2020-10-01,203064,89,0.702,0.00883,0.825,0.0,0.0674,-3.787,0.0601,102.977,4
6tDDoYIxWvMLTdKpjFkc1B,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020-12-04,160191,94,0.653,0.112,0.524,0.0,0.203,-9.016,0.0502,83.97,4
7lPN2DXiMsVn7XUKtOW1CS,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,100,0.585,0.721,0.436,1.31e-05,0.105,-8.761,0.0601,143.874,4
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,161384,94,0.662,0.213,0.413,0.0,0.134,-7.357,0.0299,93.005,4
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Dreamland,Glass Animals,2020-08-07,238805,84,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
2pn8dNVSpYnAtlKFC8Q0DJ,On The Ground,R,ROSÉ,2021-03-12,168085,79,0.311,0.0174,0.607,0.0,0.131,-6.578,0.11,188.7,4
6f3Slt0GbA2bPZlz0aIFXN,The Business,The Business,Tiësto,2020-09-16,164000,94,0.798,0.414,0.62,0.0192,0.112,-7.079,0.232,120.031,4
60ynsPSSKe6O3sfwRnIBRf,Streets,Hot Pink,Doja Cat,2019-11-07,226986,93,0.749,0.208,0.463,0.0371,0.337,-8.433,0.0828,90.028,4
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,Calling My Phone,Lil Tjay,2021-02-12,205458,94,0.907,0.451,0.393,1.35e-06,0.135,-7.636,0.0539,104.949,4
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,Heaven & Hell,Ava Max,2020-09-18,174760,87,0.614,0.0697,0.934,0.0,0.121,-3.709,0.07,116.001,4
2vBET2pmrQqafaS6zIaYta,GIRL LIKE ME,Translation,Black Eyed Peas,2020-06-18,220659,75,0.964,0.0194,0.486,0.04,0.0694,-8.891,0.188,124.058,4
27tDoZsybt3KvJWTDoW9id,Heartbreak Anniversary,When It's All Said And Done... Take Time,Giveon,2021-03-12,198370,65,0.443,0.546,0.459,1.05e-06,0.307,-8.955,0.074,87.064,5
0D75ciM842cdUMKSMfAR9y,Baila Conmigo (with Rauw Alejandro),Baila Conmigo (with Rauw Alejandro),Selena Gomez,2021-01-29,186087,91,0.824,0.0221,0.545,0.00375,0.097,-7.127,0.0699,149.912,4
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,Good Days,SZA,2020-12-25,279204,93,0.436,0.499,0.655,8.1e-06,0.688,-8.37,0.0583,121.002,4
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),Saweetie,2021-01-07,155883,89,0.84,0.00302,0.766,3.61e-06,0.0684,-4.12,0.136,94.018,4
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),Your Love (9PM),ATB,2021-01-15,150052,89,0.669,0.194,0.784,6.28e-06,0.115,-5.603,0.112,125.993,4
6Im9k8u9iIzKMrmV7BWtlF,34+35,Positions,Ariana Grande,2020-10-30,173710,92,0.83,0.237,0.585,0.0,0.248,-6.476,0.094,109.978,4
54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,91,0.889,0.218,0.34,0.13,0.055,-7.773,0.0697,94.009,4
3Yyj76BeYt3QIffwKpRuKL,Arcade,Small Town Boy,Duncan Laurence,2020-11-27,185146,72,0.453,0.827,0.35,0.00122,0.144,-11.639,0.0425,72.017,3
3XoflnowYPFRPOh3uFvHcm,Selfish Love (with Selena Gomez),Selfish Love (with Selena Gomez),DJ Snake,2021-03-04,168648,82,0.723,0.0206,0.646,0.352,0.0994,-7.973,0.102,110.971,4
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,167903,91,0.632,0.0689,0.595,0.0,0.209,-7.644,0.0401,124.114,4
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,2021-01-15,169153,89,0.824,0.0076,0.862,0.000132,0.303,-3.424,0.126,122.98,4
1RSzyxqtIO4yX3EyiV4zT5,Whoopty,Whoopty,CJ,2020-08-20,123480,41,0.714,0.194,0.609,0.0,0.126,-7.683,0.17,140.206,4
